@RELATION perfEvents

@ATTRIBUTE counter_values_L1-dcache-load-misses REAL
@ATTRIBUTE counter_values_bus-cycles REAL
@ATTRIBUTE counter_values_cache-misses REAL
@ATTRIBUTE counter_values_instructions REAL
@ATTRIBUTE classLabel REAL

@DATA
196,1929,82,4883,1
185,3033,224,4883,1
204,1918,227,4785,1
185,3060,218,4882,1
186,1177,73,4883,1
185,2991,214,4883,1
186,3084,217,4894,1
199,2623,104,4881,1
181,2155,221,4787,1
182,1990,71,4788,1
334,4352,284,4883,1
204,3033,131,4789,1
155,2849,206,4490,1
211,3455,239,4954,1
211,1345,228,4881,1
242,1705,79,4817,1
181,948,92,4855,1
207,3214,232,4881,1
503,7774,278,4885,1
294,3750,146,4885,1
183,2253,125,4881,1
206,2003,250,5283,1
208,854,80,4880,1
494,9141,283,4879,1
286,4111,244,4879,1
172,2535,81,4947,1
186,1142,214,4782,1
265,4045,235,4949,1
169,1404,199,3580,1
282,1391,183,3580,1
225,1028,145,4879,1
157,747,73,1878,1
164,1872,59,1878,1
186,1177,77,4800,1
160,2740,189,4490,1
189,1210,219,4883,1
196,2643,117,5272,1
208,1259,233,4882,1
254,1015,82,4552,1
186,1163,226,4883,1
176,2898,198,4557,1
174,2946,67,4788,1
186,3050,229,4883,1
194,1979,230,4882,1
196,3070,197,4787,1
304,3290,230,4880,1
183,2993,206,4949,1
311,3998,239,4883,1
185,3201,224,4885,1
316,4043,232,4946,1
296,2353,205,4881,1
205,3229,196,4884,1
201,3482,244,5279,1
195,2917,226,4883,1
230,2281,245,5276,1
229,3739,193,4490,1
184,3203,232,4880,1
300,2466,159,4787,1
205,1060,144,4792,1
181,4136,204,4853,1
394,2086,314,4881,1
271,2872,110,4883,1
287,3880,227,4877,1
286,3454,102,4944,1
207,1437,246,5276,1
307,1460,221,4879,1
398,1773,269,4877,1
181,2541,68,4949,1
181,2321,219,4782,1
184,1117,217,4849,1
182,2998,206,4883,1
132,600,64,1878,1
203,716,74,4496,1
182,2560,83,4883,1
160,2029,62,1878,1
183,1196,215,4876,1
189,3598,224,4883,1
247,1483,232,4833,1
187,2576,226,4949,1
178,3034,212,4883,1
161,2752,181,4557,1
202,3360,248,5287,1
189,3359,222,4883,1
293,3497,203,4490,1
176,748,73,4883,1
198,2085,95,4853,1
235,1882,191,4490,1
305,3744,223,4883,1
184,3135,233,4881,1
176,2838,185,4490,1
1552666,4241670,614175,112357774,2
1390545,4046953,539646,109776002,2
1447644,4025484,572731,106727182,2
1500925,4476771,612581,108167564,2
1591555,4379698,612873,114126066,2
