@RELATION perfEvents

@ATTRIBUTE counter_values_L1-dcache-load-misses REAL
@ATTRIBUTE counter_values_branch-misses REAL
@ATTRIBUTE counter_values_cache-references REAL
@ATTRIBUTE counter_values_cycles REAL
@ATTRIBUTE classLabel REAL

@DATA
1037275,59757,758357,36225222,1
861386,47929,624167,27022639,1
1031926,61182,794368,32272230,1
910006,62046,658479,34172056,1
866078,50616,645723,30405575,1
943089,77345,757580,40871018,1
935976,86262,760642,37092150,1
850873,50712,690461,24304510,1
863238,49688,656770,28654525,1
1018230,59520,792650,32004107,1
1252797,107879,1013817,45252673,1
810244,81905,671277,35419223,1
1032161,59430,754566,31995840,1
1027320,57625,770825,34917245,1
1037081,57813,735499,33422076,1
1030334,55862,714937,33482238,1
882136,57936,675463,30401482,1
1025984,61937,765433,34517810,1
846238,49932,671539,24847605,1
1017892,60982,792704,31149247,1
1027774,59814,786134,36478576,1
1027324,61689,761178,33631080,1
692143,43075,539463,22179445,1
886176,72766,707146,36402551,1
1015059,57854,801696,32375799,1
856510,49606,666302,30900111,1
865749,50272,658105,30455561,1
862166,51600,648322,28050011,1
1034198,60020,780419,35677160,1
923745,91686,796843,36926059,1
1238203,129017,1003005,59895991,1
1113603,149495,922665,66186594,1
892244,60354,675694,32453545,1
911584,85093,752087,42248132,1
903976,49276,668244,26788336,1
868783,49382,634048,28954683,1
851131,51634,653604,29514475,1
740877,75701,572700,33021695,1
849807,43495,646595,28256111,1
1051348,59783,812076,36330773,1
898436,52806,655835,29296270,1
899773,50230,630914,27516383,1
1225445,109891,987446,49123330,1
837099,48728,623766,29424248,1
893649,60133,707282,29407410,1
1248932,75925,978968,43000293,1
988067,55584,731569,33383380,1
1069551,67010,796970,35818609,1
993387,56173,736808,30640122,1
1068429,65741,797857,35579143,1
1089983,64104,811668,37622725,1
958869,55000,735403,29967888,1
1020431,64398,787861,35538030,1
1199247,73250,917914,45409572,1
900384,51778,667499,31727838,1
1060438,59560,777651,35106757,1
887833,53368,661822,27597759,1
1036261,61818,793769,35027888,1
859310,52588,676643,26636983,1
1041605,60924,732249,33104346,1
1033061,58835,750500,33480385,1
1032989,55854,747109,34621140,1
1033100,58165,739300,34272070,1
1023480,58659,767406,35264192,1
1052834,66727,792296,36337267,1
1122096,95051,856918,44114949,1
1051728,63022,803518,37880524,1
1032018,60183,790395,36574027,1
1021035,57098,734313,31675814,1
1036287,65106,777053,35826031,1
1019723,57411,745237,32178292,1
1009622,59819,765838,33467745,1
1019279,59134,767785,35692623,1
1035392,60116,819913,33951706,1
1023695,62407,827419,35221969,1
1020368,59106,771501,32666401,1
852006,49393,660749,28240319,1
1030663,61107,775685,34035719,1
1024734,63382,797002,35659737,1
700863,43184,553182,23138601,1
1011369,56914,741387,29774691,1
852881,50648,662842,27220584,1
875145,57055,666217,29565516,1
1001777,57545,764288,34713617,1
728556,43678,543590,24034566,1
1205478,73756,895982,39287499,1
1034528,59535,765863,33495998,1
860183,52220,663148,26784649,1
862007,51184,647007,27080270,1
1027267,62626,794495,34733923,1
1022987,53026,731041,33405384,1
852840,46137,607342,27010056,1
857129,47735,631093,27222888,1
857837,49988,618016,28802109,1
1021576,61098,782252,34411265,1
1024170,62788,758431,31574017,1
864407,52902,662050,29212793,1
1040696,63629,801387,35218937,1
1026876,61735,787869,33103963,1
3750,1205,3877,388535,1
692335,131654,677341,54470198,2
668189,128571,620201,54843897,2
804815,175953,778271,65318231,2
595500,99410,557943,44568889,2
774381,186495,727692,65478941,2
663765,123527,630223,51762608,2
615928,112116,589529,47100619,2
751267,160987,716775,59472218,2
664893,117139,584244,48267753,2
653623,120001,628289,48222970,2
748515,160720,727047,60671208,2
675741,117809,597558,48354372,2
829027,172885,817383,69146984,2
671942,119083,608639,52341771,2
636954,110616,576360,47473102,2
753287,161319,720484,58385351,2
628630,112170,579790,50184044,2
767377,149237,731494,63935175,2
634516,129266,606170,48656388,2
689886,116329,631858,50448587,2
680563,170585,662414,57728745,2
693635,119186,633059,52770800,2
622042,106858,555424,46280505,2
823141,185607,785585,66706810,2
600220,100707,552388,46234059,2
787868,179288,743145,63875436,2
619627,118002,609904,45070381,2
649132,116142,620634,56465194,2
740487,149606,684073,59098033,2
667837,126724,644592,54214227,2
633473,128570,595695,48182764,2
747272,156047,713013,61422404,2
601359,109540,556317,43990896,2
733123,167000,708134,59071975,2
608133,110641,588953,44051905,2
617852,118419,578471,43386005,2
712617,142433,669518,89985631,2
774463,164700,816531,154029515,2
754823,109188,661082,111848328,2
1052504,207380,977345,98717530,2
636459,120072,607182,46316517,2
684839,143036,671552,53347131,2
639323,121792,628079,48916735,2
623782,111723,578948,46341973,2
793579,180492,778007,65891176,2
642310,107572,574814,52883607,2
622358,121701,570607,44663099,2
730354,131744,675003,55810046,2
628561,105378,566881,49131904,2
699964,151951,644033,54859031,2
623048,113372,580911,46278964,2
607650,108423,543891,47075094,2
816571,165286,781620,68051950,2
629399,111873,623148,55155964,2
797275,146504,753910,63717286,2
614724,110333,580054,45428756,2
631542,118881,602841,46552368,2
695069,141539,678480,52039616,2
614444,106276,588094,44339081,2
639118,117951,609055,49722118,2
744294,160928,732100,60093915,2
624969,113299,615134,47028542,2
752615,163804,721907,60967986,2
651751,109134,594924,48696983,2
652963,129675,587964,52175922,2
668527,126474,616490,50549760,2
654199,108857,587769,46963121,2
640680,112609,609587,46718677,2
727153,152145,703631,58712882,2
635807,114735,594104,45739389,2
755884,154699,714912,59619489,2
622850,112186,584652,44911732,2
606496,106297,578545,44572674,2
784085,169485,767120,65280335,2
631262,112772,592695,46010868,2
655467,112891,622014,51372357,2
782024,154928,718286,57813451,2
602952,106488,550380,44703480,2
731401,153621,701295,55293941,2
611211,119178,589478,45950414,2
634453,101276,566529,48305499,2
789844,186428,792072,63882248,2
613750,106148,560201,44013468,2
666538,120737,599803,47022320,2
684147,163473,651867,53499519,2
605663,107541,589114,43800606,2
739709,159256,710353,59553826,2
630092,113719,606726,47121894,2
653185,116916,620409,48614366,2
770497,169357,754507,59829825,2
638413,117077,592059,46013851,2
670068,140248,650553,53712113,2
670893,128383,620262,53225980,2
651945,105649,589801,45128568,2
747883,155310,714882,59596961,2
619310,109307,574927,58699594,2
622564,109977,579018,48500061,2
741541,161119,714727,59265455,2
430307,80087,402369,31079605,2
% 
% 
% 
