@RELATION perfEvents

@ATTRIBUTE counter_values_L1-dcache-load-misses REAL
@ATTRIBUTE counter_values_branch-loads REAL
@ATTRIBUTE counter_values_cache-references REAL
@ATTRIBUTE counter_values_instructions REAL
@ATTRIBUTE classLabel REAL

@DATA
216,791,397,4881,1
185,749,334,4560,1
266,791,325,4881,1
286,792,425,4883,1
205,791,365,4882,1
214,800,380,4949,1
229,792,397,4882,1
204,786,325,4855,1
211,792,364,4882,1
353,777,437,4788,1
209,777,352,4788,1
206,791,361,4882,1
212,776,404,4787,1
257,736,487,4490,1
305,739,333,4490,1
213,795,351,4893,1
191,739,350,4490,1
175,748,333,4556,1
182,739,328,4490,1
398,795,497,4894,1
211,791,357,4882,1
209,791,363,4882,1
211,792,352,4883,1
204,800,363,4949,1
208,792,329,4879,1
227,817,371,5093,1
197,777,340,4787,1
213,801,394,4950,1
208,777,347,4787,1
208,777,323,4788,1
179,777,220,4788,1
198,777,346,4788,1
470,791,731,4882,1
193,739,337,4489,1
187,746,339,4544,1
190,739,327,4490,1
190,739,324,4489,1
202,739,274,4490,1
354,777,426,4788,1
223,792,385,4878,1
210,791,351,4882,1
211,777,355,4787,1
226,814,397,5094,1
205,792,350,4883,1
198,785,343,4854,1
208,785,342,4853,1
206,776,340,4787,1
204,777,321,4787,1
172,739,251,4490,1
188,748,438,4557,1
183,773,444,4777,1
348,786,405,4855,1
268,777,454,4788,1
427,748,839,4557,1
196,739,378,4490,1
174,739,278,4497,1
164,739,247,4490,1
357,739,370,4492,1
155,739,229,4490,1
154,739,214,4490,1
160,748,216,4557,1
187,737,393,4478,1
177,792,244,4879,1
366,802,590,4954,1
202,791,328,4882,1
203,801,321,4950,1
208,777,336,4788,1
205,777,348,4788,1
222,792,389,4878,1
299,785,596,4854,1
207,739,382,4490,1
186,748,322,4557,1
174,720,270,4358,1
185,777,252,4788,1
207,792,348,4878,1
210,789,372,4873,1
213,800,365,4945,1
112,288,183,1696,1
167,325,315,1878,1
125,325,226,1878,1
162,325,149,1878,1
209,795,352,4894,1
244,792,463,4880,1
226,853,365,5337,1
209,804,365,4960,1
223,800,499,4948,1
199,799,277,4943,1
210,801,352,4946,1
209,790,359,4877,1
193,777,271,4803,1
1556316,6303234,1023591,114222120,2
1701618,8359675,1188478,144597380,2
1483266,5965575,984544,107325769,2
1408807,6180694,1036375,109637803,2
1503625,5876103,990318,108135642,2
1471103,6525232,1045563,114836481,2
1415467,5827624,985977,107143189,2
1518928,6947177,1083565,109579833,2
1433049,6269013,987721,107063949,2
1535852,6499549,1100685,114693654,2
1443485,5956874,1007752,108641018,2
1479481,6691031,1035520,110244184,2
1363870,5843151,970489,107082534,2
1490797,6591008,1036041,114903237,2
1405721,5738315,929029,105887192,2
1326257,6180987,903386,109429893,2
1333681,6547405,905376,109609726,2
1767216,7220164,1177853,133524183,2
1450470,5803956,1004054,107956931,2
1382922,6002567,1015237,108611612,2
1416297,5925505,915443,107786993,2
1470479,6346478,1014670,114134862,2
1373464,5843890,915163,107627277,2
1383747,5954433,962833,107413556,2
1544959,5620393,979200,105826238,2
1425975,6220038,1015107,112176468,2
1406482,5648429,949508,106147197,2
1381146,6183751,993025,109302185,2
1571141,6241557,1047766,125955635,2
1722565,7080106,1163975,120590664,2
1508856,6251370,1060497,110108267,2
1557638,7356052,1062582,139004107,2
1360977,5800090,949558,107780789,2
1425463,5866254,951482,107444530,2
1560205,6197647,1055984,112405153,2
1343331,6226818,960018,110821908,2
1374595,10001327,906655,157254396,2
