@RELATION perfEvents

@ATTRIBUTE counter_values_L1-dcache-load-misses REAL
@ATTRIBUTE counter_values_branch-instructions REAL
@ATTRIBUTE counter_values_branch-loads REAL
@ATTRIBUTE counter_values_instructions REAL

@DATA
697382,1976593,1982502,1976593
620349,1707674,1701765,26433620
748461,2375594,2375594,1707674
722695,2020897,2020897,21138654
788809,4432586,4432586,2375594
774874,2789946,2789946,28329279
764534,2187547,2187547,2020897
715799,2002684,2002684,26641958
734051,2126845,2126845,4432586
720673,2050783,2050783,37705788
704893,1975839,1975839,2789946
884925,2761242,2761242,30263655
743052,2104924,2104924,2187547
705821,1997160,1997160,27660275
622097,1776210,1776210,2002684
807373,2608177,2608177,26557505
783731,2108006,2108006,2126845
768641,2105079,2105079,27292734
642217,1757154,1757154,2050783
772209,2126231,2126231,26791840
806305,2237044,2237044,1975839
788219,2280288,2280288,26417401
721424,1922985,1925171,2761242
923325,2576720,2575453,31448812
735592,2094049,2100089,2104924
635329,1667961,1661002,27135631
1057607,2767419,2767419,1997160
756130,2110240,2110240,26506091
930430,3167558,3167558,1776210
631085,1703145,1706786,21992150
685646,1803604,1799963,2608177
818384,2287735,2287735,30226945
749834,2115702,2115702,2108006
744170,2473004,2473004,27202679
953462,3338557,3338557,2105079
836848,2287274,2287274,27893169
849204,2439941,2439941,1757154
828505,2259833,2259833,21463057
850244,2645555,2645555,2126231
953423,2848066,2848066,27993855
959463,2589381,2589381,2237044
950036,2669586,2677041,29252021
905555,2635013,2627558,2280288
825179,2449498,2449498,28873979
714150,2001845,2001845,1922985
801054,2642657,2645018,23255256
817539,2438194,2435833,2576720
615182,1584310,1584310,34172317
745075,2160537,2167086,2094049
763000,2215966,2214222,27985531
723395,1903710,1898905,1667961
695564,1987266,1987266,21392404
789432,2329093,2337613,2767419
802791,2267080,2258560,34951119
705236,1968674,1968674,2110240
743763,2148211,2148211,27144107
457789,1129435,1129435,3167558
839467,2415056,2415056,37893720
745304,2030544,2030544,1703145
703636,2005389,2005389,21845788
749725,2175982,2175982,1803604
721993,2037356,2037356,22364392
701132,1977267,1977267,2287735
756359,2507508,2522180,28945930
725368,2118245,2103573,2115702
735408,2170960,2170960,27872169
701815,1990161,1990161,2473004
726241,2003833,2003833,25726856
743758,2191090,2191090,3338557
707686,2004860,2004860,37865414
727109,2143681,2143681,2287274
712824,1978015,1978015,29582572
747217,3437301,3437301,2439941
744162,2021425,2021425,30421647
704523,1996521,1996521,2259833
734624,2146983,2146983,28591174
711822,2000192,2000192,2645555
721679,1980131,1980131,31553477
611375,1701689,1701689,2848066
711865,1998310,1998310,32369710
739760,2140250,2140250,2589381
717300,1992878,1992878,33456843
714215,2000612,2000612,2669586
600467,1692702,1692702,33269544
707258,1990879,1990879,2635013
775483,2522569,2522569,32065561
714569,2027729,2027729,2449498
698636,1986960,1986960,30159481
618388,1714142,1714142,2001845
791211,2390354,2390354,26553063
741383,2297546,2297546,2642657
910660,2443344,2450877,29843171
911425,2600936,2593403,2438194
850526,2435710,2435710,32615109
643366,1769543,1769543,1584310
882958,2398100,2398100,20512400
780831,2160651,2165836,2160537
782634,2411699,2406514,27632851
732674,2133515,2133515,2215966
34735,39340,39340,30301614
789084,5687916,5687916,5687916
658223,3244746,3244746,30982450
599615,2854703,2854703,3244746
1166295,5884258,5884258,23819325
961059,4308937,4308937,2854703
872495,3784417,3784417,20292658
1149559,6827660,6827660,5884258
863283,7397381,7400005,46003535
1101598,5855383,5858556,4308937
1140872,4832222,4837550,32401003
1156639,6661961,7855162,3784417
1059799,6647705,5443379,29152032
985778,3844468,3844468,6827660
1315112,7151117,7151117,45503964
1045213,4316213,4316213,7397381
1091653,7335170,7361977,42459760
1006971,6927454,6900647,5855383
987754,5232551,5232551,42634381
884756,5195776,5216600,4832222
766498,3760659,3739835,41263538
785322,3292009,3292009,6661961
980537,6414555,6414555,47865319
760828,3135784,3135784,6647705
894220,3628950,3628950,40168938
1026424,5487869,5487869,3844468
935862,6150222,6150222,33092404
893891,5002502,5002502,7151117
843896,3672593,3672593,49794186
1028818,5715079,5715079,4316213
1584107,12102964,12124092,38355284
1888181,16917697,16896569,7335170
1780530,14201869,14201869,50730795
1163284,9988454,9988454,6927454
681980,3168363,3168363,37832043
916392,4692047,4692047,5232551
916856,5395522,5395522,35838036
707681,3729954,3730888,5195776
1122694,7859802,7858868,32602769
974926,5118231,5118231,3760659
1121477,5593363,5593363,26521155
1301494,7490192,7491436,3292009
617152,3006445,3005201,27518799
782092,3951528,3962247,6414555
633034,2826892,2816173,39922308
662352,3777387,3777387,3135784
801297,4074198,4074198,25446092
609669,2490070,2490070,3628950
711214,4256939,4269951,30546014
672847,2857547,2844535,5487869
593104,2746348,2746348,34468971
805712,4012393,4012393,6150222
566780,2660496,2660496,35730495
577932,2731229,2731229,5002502
797170,4354252,4354252,31952396
628994,2798592,2798592,3672593
662870,3867443,3867443,28021335
614011,2735432,2735432,5715079
686557,3089434,3089434,37706284
821537,4662519,4662519,12102964
638619,3209084,3209084,75361784
592976,2645303,2645303,16917697
724729,3426934,3438351,113373417
702787,4378616,4367199,14201869
673503,3042241,3045260,79775984
696888,3563196,3560177,9988454
634835,3211377,3211377,53410464
772163,3823300,3823300,3168363
644490,2933061,2933061,22301060
609070,2545183,2545183,4692047
775389,3721193,3721193,30142224
625684,2682650,2682650,5395522
