@RELATION perfEvents

@ATTRIBUTE counter_values_branch-instructions REAL
@ATTRIBUTE counter_values_cache-references REAL
@ATTRIBUTE counter_values_instructions REAL
@ATTRIBUTE counter_values_mem-stores REAL
@ATTRIBUTE classLabel REAL

@DATA
897,291,897,1320,1
853,382,5661,1264,1
792,276,853,1179,1
799,278,5339,1191,1
791,273,792,1178,1
791,336,4883,1177,1
775,320,799,1161,1
775,329,4944,1161,1
792,388,791,1177,1
78,0,4879,1923,1
1349,134,791,1497,1
325,305,4878,569,1
846,157,775,1253,1
325,115,4782,569,1
325,268,775,569,1
792,331,4782,1177,1
748,282,792,1121,1
792,514,4879,1179,1
792,205,78,1179,1
734,250,8897,1104,1
801,268,1349,1193,1
792,283,325,1179,1
739,262,1878,1107,1
793,265,846,1181,1
792,818,5285,1179,1
748,250,325,1279,1
792,268,1878,1179,1
847,321,325,1252,1
739,254,1878,1107,1
791,382,792,1178,1
792,221,4879,1179,1
739,359,748,1107,1
791,372,4557,1178,1
843,183,792,1252,1
745,344,4883,1112,1
791,249,792,1178,1
791,302,4883,1178,1
748,435,734,1121,1
792,272,4470,1179,1
791,361,801,1177,1
804,387,4950,1195,1
791,491,792,1177,1
856,281,4883,1403,1
792,454,739,1177,1
790,487,4490,1177,1
799,231,793,1359,1
792,347,4887,1177,1
799,2210,792,1191,1
800,268,4883,5723,1
801,256,748,1191,1
775,263,4557,1161,1
784,402,792,1175,1
800,172,4883,1191,1
325,175,847,569,1
325,484,5285,569,1
826,239,739,1236,1
739,287,4490,1107,1
845,322,791,1249,1
792,368,4881,1178,1
748,461,792,1121,1
792,408,4883,1179,1
792,216,739,1179,1
730,311,4490,1090,1
848,495,791,1253,1
848,221,4881,1411,1
739,285,843,1107,1
845,496,5269,1251,1
792,330,745,1179,1
739,351,4552,1107,1
791,418,791,1178,1
792,430,4881,1187,1
748,467,791,1282,1
848,320,4881,1532,1
792,240,748,1179,1
739,494,4557,1107,1
848,240,792,1254,1
800,376,4883,1192,1
748,291,791,1121,1
845,278,4878,1252,1
854,726,804,1265,1
795,248,4961,1339,1
801,426,791,1194,1
792,489,4878,1336,1
784,250,856,1168,1
790,242,5353,1177,1
790,372,792,1177,1
801,380,4879,1191,1
841,271,790,1250,1
784,311,4877,1175,1
777,135,799,1163,1
6191856,990319,6191856,17414980,2
5782331,929980,109791243,16710551,2
6475141,1045411,5782331,18526435,2
5871756,942515,106626283,17074282,2
7575178,1028572,6475141,17397814,2
6172100,995933,113923358,17335472,2
6984878,1179463,5871756,19976613,2
5684698,899052,108203703,15101597,2
7923937,1234283,7575178,22213694,2
5137752,850806,113807985,13955919,2
6680187,1026370,6172100,20226350,2
6037244,895672,109352319,17759016,2
6640382,1061839,6984878,18545321,2
5845168,913628,120939596,16857842,2
6105671,934304,5684698,17150284,2
6166872,957900,99865416,18358008,2
6857277,1039333,7923937,19080404,2
5713060,925309,138099219,16578137,2
6410280,1036133,5137752,17908164,2
6325566,1029450,86163575,18650310,2
6179146,1009231,6680187,17424692,2
5966056,903335,133316614,17126240,2
6093685,906195,6037244,17139039,2
6019697,1009000,110658365,17977747,2
5864952,984326,6640382,16909585,2
5824362,974473,114175513,16877748,2
6545379,1069536,5845168,18752564,2
6064702,1031618,106997312,18259772,2
7178657,976381,6105671,17189368,2
6928792,1137227,108574382,19371429,2
6629089,1037691,6166872,19099294,2
6344020,1040831,112656398,17619564,2
6790598,1064128,6857277,20559955,2
6021913,977002,128370024,17092254,2
6127425,881795,5713060,17200447,2
10827176,1123592,106401234,23576408,2
6843458,1051183,6410280,20258744,2
6186321,950294,111708499,17380440,2
5886343,977161,6325566,17102617,2
6161080,981820,114395133,17391964,2
6095143,968824,6179146,17997097,2
6075591,994743,109795084,17055338,2
5818071,958500,5966056,16930168,2
6211681,960181,108450144,17099183,2
6127449,1049127,6093685,18043440,2
6195223,1053300,108473098,17174318,2
7640292,1187467,6019697,21576629,2
6135206,1038314,111186640,17420123,2
6134962,1000479,5864952,17357057,2
6174599,1033604,107066247,17719379,2
5938844,989493,5824362,17157556,2
6105646,972507,106928273,17025400,2
5771370,922494,6545379,16726516,2
6184633,1026826,127118119,18308869,2
6156209,991523,6064702,17259691,2
6346628,1026389,112546625,17105830,2
6421698,1057677,7178657,19044864,2
6622585,1038166,112026783,18653655,2
5808160,940275,6928792,16854019,2
6099696,994445,117935251,17171377,2
5821812,943371,6629089,16820383,2
6405463,1029216,120425319,18418117,2
5650980,988670,6344020,16261069,2
6037049,951012,106678902,15978578,2
7469315,1149681,6790598,20996485,2
6770656,1024419,134791875,18105743,2
4186861,748249,6021913,11516854,2
6524809,1033648,108014665,18721004,2
7716343,1160977,6127425,22981052,2
6110689,902869,110030367,17339347,2
5281687,864320,10827176,15307618,2
6413694,982350,160749569,17350370,2
6284220,1001534,6843458,17625055,2
6825905,1076421,133198236,19811187,2
6401840,918209,6186321,16835224,2
6881741,1064515,109924679,19094297,2
6211449,975441,5886343,18326175,2
6409070,970133,108535796,17271674,2
5793387,926586,6161080,16863482,2
6003755,994014,109858092,16730896,2
6383876,982677,6095143,17875591,2
6129116,937297,111700078,17204390,2
7067089,898511,6075591,16889353,2
6116756,1033792,108043854,17214461,2
7344760,1001116,5818071,18374304,2
6460769,1024312,107664295,17199101,2
6372692,960771,6211681,16913020,2
6126385,974163,108812504,17245994,2
6216677,979369,6127449,18414571,2
6460148,1067272,111795594,17902471,2
5993307,1006934,6195223,17397294,2
7037122,1042582,108853687,19872397,2
5970990,1008842,7640292,17349938,2
5162540,807189,139284224,15070371,2
7579578,1096121,6135206,20850171,2
6844707,1159818,109680435,18771277,2
6755183,1021666,6134962,19171604,2
6293799,982967,109393648,17618780,2
2005954,325751,6174599,5840330,2
5684,2803,5684,6772,3
6084,2501,28496,7302,3
6135,2363,6084,7349,3
6129,2601,31079,7559,3
6143,2468,6135,7360,3
6139,2553,31381,7350,3
6061,2717,6129,7244,3
6140,2615,31332,7352,3
6166,2732,6143,7395,3
6120,3102,31456,7495,3
6601,2929,6139,8013,3
6091,2389,31399,7306,3
6144,2366,6061,7356,3
6163,2753,30811,7386,3
11264,5133,6140,13181,3
6279,2650,31412,7532,3
6176,3234,6166,7399,3
6148,2817,31589,7354,3
6098,3178,6120,7316,3
6239,2945,31283,7518,3
6269,2929,6601,7543,3
6186,3019,34294,7437,3
5717,2409,6091,6794,3
6288,3127,31108,7558,3
6311,2900,6144,7586,3
6278,2616,31412,7538,3
6305,2864,6163,7841,3
6163,2218,31568,7382,3
6085,2995,11264,7291,3
6042,3343,56717,7235,3
5646,2362,6279,6714,3
6244,2747,32394,7521,3
6271,2808,6176,7531,3
6253,2710,31660,7498,3
5725,2623,6148,6807,3
6292,2609,31436,7590,3
6393,3490,6098,7846,3
6304,2897,31111,7568,3
6261,2568,6239,7530,3
6175,2566,32210,7414,3
6037,2841,6269,7227,3
6066,3269,32361,7256,3
5620,2451,6186,6667,3
6199,2847,31806,7439,3
6270,2836,5717,7521,3
6303,2870,28629,7566,3
6174,2682,6288,7417,3
6259,2758,32504,7510,3
6246,3050,6311,7515,3
6279,2804,32647,7558,3
6281,3113,6278,7561,3
6136,2863,32390,7351,3
6092,3339,6305,7450,3
6182,3520,32603,7578,3
6210,2802,6163,7458,3
6289,2961,31534,7549,3
6269,2803,6085,7523,3
6302,2785,30996,7571,3
6223,3650,6042,7489,3
6246,2707,30674,7510,3
6262,2888,5646,7530,3
6225,2766,28112,7467,3
6160,2745,6244,7369,3
6127,2766,32243,7322,3
6158,2916,6271,7363,3
6070,2849,32358,7245,3
12040,4734,6253,14439,3
6302,2829,32156,7565,3
6235,2917,5725,7493,3
6288,3388,28685,7575,3
6156,2818,6292,7401,3
6265,2847,32670,7525,3
6287,2962,6393,7540,3
6226,3470,33255,7636,3
6187,2898,6304,7421,3
6198,2847,32583,7433,3
6203,3077,6261,7433,3
6038,2683,32316,7227,3
6254,2727,6175,7517,3
6288,2926,31661,7571,3
6269,3276,6037,7545,3
6215,2595,30656,7470,3
6758,2415,6066,8214,3
6254,2772,30849,7505,3
6301,3058,5620,7570,3
6364,2949,27972,7665,3
6340,2886,6199,7621,3
6201,2753,31818,7438,3
6060,3200,6270,7261,3
6032,2829,32314,7222,3
5743,2415,6303,6851,3
6300,2816,32549,7579,3
6409,3175,6174,7703,3
6336,2814,31704,7613,3
5761,2786,6259,6854,3
6274,2876,32285,7535,3
3260,3326,6246,5039,3
7604,3728,32224,10208,3
6265,2741,6279,7535,3
6189,3675,32454,7595,3
4899,1957,4899,5954,4
8743,3559,24591,10584,4
5593,1830,8743,6587,4
4804,1770,43554,5888,4
4837,1769,5593,5933,4
4880,1796,27708,5969,4
8685,3200,4804,10350,4
4393,1701,24066,5327,4
5595,1897,4837,6585,4
4890,1781,24311,5984,4
4864,1800,4880,5963,4
8158,3184,24550,9707,4
4868,1810,8685,5965,4
4902,1767,43153,5973,4
5584,1961,4393,6581,4
4866,1900,21323,5966,4
8703,3368,5595,10382,4
4871,1835,27723,5932,4
4842,1882,4890,5907,4
4427,2141,24633,5332,4
5548,1861,4864,6528,4
8562,3220,24482,10218,4
4834,1831,8158,5907,4
4384,1778,39739,5307,4
4369,1600,4868,5297,4
4845,1746,24496,5887,4
9336,3256,4902,10902,4
