@RELATION perfEvents

@ATTRIBUTE counter_values_L1-dcache-load-misses REAL
@ATTRIBUTE counter_values_branch-instructions REAL
@ATTRIBUTE counter_values_branch-loads REAL
@ATTRIBUTE counter_values_cache-misses REAL
@ATTRIBUTE classLabel REAL

@DATA
710994,2006609,2006609,196074,1
760981,2177750,2177750,203103,1
751192,2366215,2366215,200914,1
715981,1976609,1976609,203399,1
741283,2207599,2207599,195492,1
832060,5281533,5281533,231709,1
727566,2126475,2126475,218353,1
591002,1572256,1572256,177474,1
714423,1997567,1997567,199758,1
903543,2930630,2930630,265789,1
885684,2493698,2493698,252344,1
956908,2558262,2558262,266573,1
828067,2284372,2284372,251170,1
893217,2445061,2445061,254945,1
887450,4452261,4449954,264542,1
783934,2672148,2674455,240716,1
874157,2344502,2344502,259242,1
856767,2484976,2482537,253099,1
936581,3046869,3041836,312993,1
967898,2651774,2659246,269159,1
909466,2537752,2537256,254122,1
1083702,2935655,2936151,287407,1
837260,2688338,2688338,251351,1
677794,2406661,2406661,190131,1
734375,2165751,2165751,203087,1
710508,2017324,2017324,174521,1
615900,1737769,1737769,164825,1
696110,1993041,1993041,195989,1
733329,2039864,2028972,208689,1
627357,2161415,2172307,181013,1
583681,1550639,1550639,183353,1
736234,2156038,2156038,215774,1
699053,1981635,1981635,199688,1
704710,1984751,1984751,197461,1
614997,1734496,1734496,166943,1
708954,1999978,1999978,186202,1
759599,2201570,2201570,205199,1
704297,2006889,2006889,215757,1
731790,2152830,2152830,222714,1
700761,1991240,1991240,194411,1
714128,1988862,1988862,194344,1
739953,2156660,2155120,196282,1
703800,2006772,2008312,178583,1
912735,2702941,2702941,261233,1
563481,1522894,1513534,155114,1
725684,2421651,2431011,208380,1
715680,1936901,1928291,203741,1
913354,2379707,2388317,237492,1
416818,1520054,1520054,126775,1
908339,2212777,2212777,232663,1
402407,1418898,1418898,117390,1
1057583,2770856,2770856,307756,1
786338,2365444,2352977,218195,1
786289,2255219,2267686,207922,1
406993,1407271,1407271,123060,1
1037991,2657479,2657479,280902,1
738679,2174146,2174146,226749,1
726770,1986312,1986312,208012,1
595940,1691402,1691402,160541,1
719452,2029377,2029377,191706,1
714720,2003836,2003836,193455,1
709933,1992117,1992117,179555,1
708869,1997209,1997209,196427,1
448708,2999328,2999328,136654,1
1035228,3081399,3081399,288209,1
703377,1997103,1997103,192848,1
747242,2058998,2058998,190905,1
591418,1565977,1565977,158090,1
624920,1739085,1739085,170554,1
705334,2005803,2005803,201548,1
701822,1983045,1983045,174100,1
737339,2129990,2129990,217966,1
721718,2659674,2659674,212469,1
623491,1704377,1704377,175060,1
716861,2011090,2011090,180050,1
710578,2009592,2009592,194352,1
738488,2159207,2159207,196637,1
707272,1970371,1970371,180344,1
743126,2037665,2033926,206771,1
699539,2028884,2032623,200346,1
705768,2010237,2010237,198046,1
737190,2143333,2141344,202981,1
705596,2018987,2020976,204669,1
796234,2239535,2230435,224675,1
778374,2236107,2245207,211189,1
738661,2448321,2448321,190722,1
627614,1804328,1795460,186148,1
818711,2343150,2352018,217219,1
828277,2656752,2656752,252132,1
812744,2219581,2219581,240237,1
897346,2886814,2886814,245346,1
1004089,3510215,3510215,311742,1
649342,1882604,1882604,180100,1
764127,2069414,2069414,197661,1
718090,2002784,2002784,182014,1
709837,2012865,2012865,196435,1
737191,2147986,2147986,221825,1
697814,1988565,1988565,210506,1
765503,2099907,2099907,219079,1
757527,4446936,4440750,311235,2
716153,6313078,6319264,304908,2
655271,3988635,3982682,264381,2
887682,5072531,5078484,349118,2
611284,3738120,3738120,231609,2
795814,5482428,5482428,289682,2
728568,6518768,6518768,286717,2
678725,4901522,4900025,280849,2
814485,4191869,4193366,287276,2
665642,4231219,4231219,250153,2
772941,4703536,4703536,304267,2
664603,4000595,4000595,282465,2
818119,4762368,4759341,322813,2
733986,4625016,4628043,290645,2
590038,3638681,3638681,222398,2
875824,5632264,5632264,359534,2
657235,3791947,3791947,257183,2
776815,4165365,4163772,309058,2
677321,3857755,3859348,258755,2
711937,4797998,4797998,276920,2
988060,6443158,6443158,355820,2
591354,4136992,4136992,230995,2
1367731,11235357,11235357,469121,2
1778409,10856511,10855815,644980,2
904139,6600049,6594449,328443,2
848798,5359531,5365751,326604,2
656606,4172276,4172276,261826,2
814891,4821157,4821157,301168,2
888418,7023152,6997792,351235,2
877710,5227411,5252093,354413,2
841518,4746022,4746700,306369,2
736522,4527266,4522953,292576,2
738217,7262110,7258594,300633,2
785841,5429119,5436948,320801,2
1480920,11787437,11787437,569178,2
1801184,20349799,20349799,650461,2
1882742,13473556,13460557,692153,2
775435,6581309,6594308,292642,2
663165,5032231,5032231,256080,2
855925,5316733,5316733,332144,2
690160,4368547,4368547,267559,2
851765,5232718,5232718,317603,2
899066,6471063,6471063,342421,2
901645,7803374,7791670,360664,2
754790,4932788,4930934,292740,2
623455,4247827,4261385,262429,2
746389,4848848,4848848,276888,2
1514930,13474170,13469857,569082,2
1549547,12714377,12718690,583501,2
775546,4726274,4726274,327535,2
673964,4233826,4233826,275439,2
664942,3919020,3919020,288794,2
602010,3794476,3794476,273301,2
634711,3901808,3901808,291354,2
550945,3734753,3731788,242913,2
686206,4267249,4270214,284621,2
674878,3622775,3620783,276391,2
709955,4350804,4352796,304949,2
852283,4993898,4990650,345149,2
725420,4249789,4245672,290816,2
766472,4184255,4190951,300141,2
773016,4535702,4536371,294014,2
716369,4740848,4724544,295644,2
964882,6154675,6152781,359422,2
697009,4831934,4850132,275865,2
652871,3662352,3662352,280169,2
722358,5624516,5624516,277464,2
613789,3335188,3335188,245757,2
838486,4837282,4837282,346897,2
599925,4222266,4222266,226066,2
760325,4387701,4387701,304678,2
761114,5396726,5396726,291655,2
733858,4543692,4543692,305094,2
912678,5391580,5391580,370898,2
648698,4286159,4286159,253011,2
740341,3766084,3766084,292959,2
767786,5342552,5342552,283578,2
845207,6356254,6355666,351377,2
700115,4407220,4407808,290138,2
690400,3371455,3365704,273723,2
866373,5623976,5629727,312958,2
719903,4392811,4392811,279517,2
773128,4497142,4497142,324810,2
591419,3440332,3437747,247733,2
721887,3829891,3832476,307746,2
598470,3493785,3493785,257318,2
632477,3831689,3831689,253290,2
915549,5362229,5362229,357311,2
633794,4299316,4299316,246628,2
792089,5213816,5213816,322262,2
697813,4109826,4109826,261900,2
