@RELATION perfEvents

@ATTRIBUTE counter_values_branch-instructions REAL
@ATTRIBUTE counter_values_branch-misses REAL
@ATTRIBUTE counter_values_cache-misses REAL
@ATTRIBUTE counter_values_mem-stores REAL

@DATA
2533735,52591,240924,2508791
1391740,31842,130338,1451894
3147608,59518,279523,3097162
2889128,57125,218838,2857098
4435689,70378,212452,4324514
3587553,72680,284215,3483967
2921391,69518,233706,2907654
2783035,56841,256103,2754795
2350105,50854,221602,2362086
2964957,52913,253485,2744244
2523429,50020,216069,2486839
3083839,56490,263120,2981292
2518065,50345,220045,2467880
3053634,57240,240694,2941449
1964240,39871,161420,1974526
3714193,76879,249541,3587110
2505709,46440,198115,2456529
3740537,130535,282953,3826326
3081484,63352,278391,2979777
1934470,42389,192438,1945212
2505391,51005,223838,2462656
2511732,48135,229521,2471978
3109877,63797,274384,3021203
2485274,47099,223122,2435636
2531305,51984,242383,2484793
2498092,48596,213240,2447978
2983590,46571,213107,2444758
2841766,59010,268777,2783955
2662573,50064,213358,2613976
2515991,53037,263713,2479209
2491535,47610,240035,2437683
1987508,42645,177569,2000237
3052036,59228,256100,2943902
2053745,46690,202127,2113851
1909116,36053,171553,1901928
4052519,129987,306446,4062165
2986898,78059,251662,2910824
9173801,184747,379054,11594446
2390689,70232,208219,2436955
2514128,49343,230546,2468380
3055116,59779,274135,2955460
2677034,64300,248751,2724929
2973202,55339,262655,2820226
2488982,49552,225291,2436546
3058270,57261,261487,2954601
2998841,58759,227361,2908975
2505025,49608,222029,2450336
3028938,61669,279025,2925701
2608199,56356,243213,2590742
2982221,54082,259277,2819709
3091213,58660,287068,3046281
1898833,37733,147556,1837230
3182378,62588,303524,3143242
2576622,53346,259987,2630331
2304124,47919,200925,2085818
3186956,57722,286519,3187796
2536868,47860,237642,2534114
1743001,33197,149228,1577992
5707727,43164,176750,2023168
3247893,60656,311023,3226016
2396294,46909,199193,2300839
3286980,62129,300561,3379715
1788272,36748,135334,1646420
3586871,67516,282167,3484494
3515763,56928,303768,3263123
2509741,49757,232872,2464115
2493470,49568,224695,2441171
2508803,46837,216239,2455187
2496755,48861,207935,2439284
3097633,60924,271168,2991580
2497872,47659,220213,2448432
3051287,62002,259787,2955134
1946784,39688,167338,1952541
3066296,59045,274490,2968559
2510204,51791,233165,2467863
1943215,42014,193755,1947887
3066384,58141,268522,2957412
2551667,49751,217698,2509538
1932038,40212,200848,1938053
3221453,58622,294021,2932870
1899737,39497,162582,1871471
2545864,53210,243435,2518302
2010810,42070,184693,2077226
2408397,44941,229801,2291635
2549426,47309,208091,2510667
2953191,54078,229384,2874476
2535949,50231,258884,2428968
