@RELATION perfEvents

@ATTRIBUTE counter_values_L1-dcache-prefetch-misses REAL
@ATTRIBUTE counter_values_L1-icache-load-misses REAL
@ATTRIBUTE counter_values_branch-loads REAL
@ATTRIBUTE counter_values_cycles REAL
@ATTRIBUTE classLabel REAL

@DATA
12,376,815,19995,1
14,409,844,22058,1
2,221,325,13377,1
11,390,801,26342,1
14,381,792,22808,1
12,385,792,26972,1
12,377,748,24969,1
13,387,792,27538,1
13,349,739,24088,1
18,385,792,26317,1
11,388,748,24627,1
14,406,792,32328,1
10,400,792,19381,1
12,392,792,19787,1
12,361,739,18172,1
14,399,801,35466,1
16,438,791,47372,1
14,360,757,28752,1
31,608,739,43497,1
13,377,791,30861,1
12,385,845,23504,1
15,404,792,21721,1
11,361,739,20050,1
14,416,739,24478,1
12,394,792,20215,1
15,402,792,20928,1
24,525,801,38041,1
12,360,739,24107,1
14,383,792,26782,1
14,369,792,39786,1
12,377,748,24694,1
13,399,783,27724,1
13,378,777,25779,1
13,391,826,27830,1
11,360,748,24839,1
10,387,777,19212,1
12,371,739,23912,1
13,384,739,24358,1
15,358,739,22357,1
15,364,745,22071,1
13,350,739,23978,1
31,616,739,47791,1
15,358,739,24375,1
13,369,739,32851,1
14,368,739,20510,1
11,498,795,33328,1
14,360,739,24449,1
19,387,854,30507,1
13,362,748,29573,1
14,380,739,22834,1
18,403,851,34827,1
13,353,739,20821,1
13,380,739,25409,1
12,384,795,20934,1
14,381,795,26569,1
12,383,792,26526,1
23,0,881,17242,1
28,630,792,36831,1
15,386,748,44125,1
13,390,749,20631,1
17,390,792,25057,1
13,375,739,28567,1
24,553,792,26399,1
13,376,791,66624,1
12,383,792,28323,1
13,374,739,27207,1
14,384,791,18787,1
11,375,748,26803,1
12,374,739,24952,1
12,364,739,23749,1
13,393,795,24299,1
15,557,748,26700,1
17,472,748,45487,1
12,368,739,27899,1
19,567,800,17903,1
14,320,749,42789,1
6,218,325,19577,1
6,207,325,22618,1
11,356,776,18166,1
12,361,792,18836,1
11,415,853,23515,1
11,429,764,29699,1
13,409,845,22974,1
12,397,777,20441,1
11,400,801,28623,1
12,389,792,19753,1
12,367,748,20096,1
15,385,845,25579,1
13,358,848,19975,1
12,384,795,19782,1
188364,288636,6814300,125402863,2
199433,352071,6125904,118508466,2
172378,231693,5657967,108817844,2
189833,355894,6060805,116317437,2
192306,301443,6277789,115647016,2
173206,298609,6169998,117483125,2
180898,211538,5645230,111364055,2
226236,401102,6695870,138115649,2
208152,260615,6031402,121655431,2
261369,356697,8297179,156957001,2
194430,246334,5795791,115292209,2
187998,282031,5916989,107817829,2
175970,223914,5647173,111303155,2
186028,262807,6264610,115383655,2
180862,271114,5885153,112851471,2
189582,198750,5654822,104585798,2
184938,204275,5719403,106833062,2
211151,375445,6973585,130459149,2
194506,331707,6022403,122275605,2
182272,237529,5684478,108293738,2
204265,335019,6292482,116931595,2
230857,267853,7497657,145651432,2
197055,220456,6140241,117133810,2
181506,258290,5794917,113299252,2
146569,281821,4271989,86514678,2
217373,294249,7354101,145219459,2
208629,313206,6544846,120027981,2
213690,297147,6213259,128235521,2
187139,259194,6758606,112014467,2
194481,235151,5646656,101858792,2
204799,356253,6057518,115239801,2
202974,397489,8779902,143718940,2
190219,305721,6028658,119205783,2
180014,234877,5779321,109250074,2
185398,222629,6008329,112366498,2
198015,292132,5994786,113411687,2
209636,287977,10066341,164248669,2
210717,285322,6362642,111606464,2
205996,259942,6401675,121892950,2
192843,226350,5669487,113561767,2
184043,221239,5702795,114811512,2
188539,309791,6157224,125709377,2
199642,296480,6510611,115892077,2
175249,259934,5526583,116525614,2
234464,390352,7826736,145563725,2
207941,240144,6492891,134805863,2
177032,277594,5966835,93420158,2
223006,280494,6267980,125543041,2
184739,318030,6548414,135430409,2
177140,223721,5545874,115765472,2
183151,270430,6198462,120136113,2
196490,246019,7361442,126701915,2
178890,281894,5891282,117171215,2
194028,256054,5656123,115839797,2
192788,258426,6084343,118579150,2
193988,241207,6263900,120600714,2
202230,354526,6380158,120475153,2
196001,236390,5603141,113094136,2
199671,280524,5941086,112112207,2
185882,249890,5970962,120132035,2
178922,196386,5697389,109830870,2
185400,311162,6011195,120820384,2
188158,308959,6055310,117459094,2
175888,300486,5826169,111856315,2
189564,249052,5354089,105448167,2
193186,308005,6259149,117373870,2
188041,278396,5962930,121112233,2
200350,358819,6340077,119221513,2
213614,315952,6313990,122892790,2
214462,251762,6561015,123996932,2
200727,238654,6635481,131574305,2
186726,368261,5611948,108189450,2
229906,331792,7268294,134208974,2
215968,261576,6104099,129605796,2
194351,359445,6357376,120503243,2
194988,285376,5674486,125472080,2
205603,283592,6148578,113599683,2
188098,222327,5669956,110809762,2
203204,320406,6296532,120488475,2
198246,251817,5645257,115341978,2
166807,247438,5739107,115372270,2
173646,225304,5520478,103208230,2
199089,198450,6012515,109189781,2
186139,254852,5916270,115747866,2
198627,312534,5899361,114313689,2
180726,217998,5648742,99330414,2
224860,321168,7251917,134904904,2
241736,391551,6612769,121446279,2
204992,338406,7108144,140930356,2
212367,244245,6365895,115674103,2
155792,282114,5000176,94595006,2
248549,334406,7443204,153458200,2
202428,257934,5863888,114281889,2
188629,229201,5706389,112938994,2
198263,279273,5881695,113805800,2
187890,307014,6133611,113598301,2
198266,334239,6321801,122487274,2
175689,242348,5918541,112432624,2
66442,125880,1842234,39715485,2
93,2292,5692,255019,3
93,2464,6206,218593,3
84,2465,6258,115405,3
73,2456,6272,114333,3
100,2443,6162,305963,3
92,2556,6154,206578,3
100,2521,6140,320395,3
106,2652,6117,395048,3
94,2529,6132,201550,3
91,2475,6149,190248,3
90,2477,6111,188658,3
93,2439,6042,139131,3
101,2480,6211,307408,3
83,2483,6249,120893,3
81,2466,6243,115289,3
91,2517,6235,193322,3
100,2470,6188,336981,3
91,2506,6250,156672,3
78,2489,6243,123950,3
77,2422,6209,118188,3
95,2524,6207,203280,3
94,2493,6109,197260,3
96,2505,6052,203118,3
92,2483,6050,197977,3
96,2525,6224,334014,3
97,2526,6241,206583,3
99,2479,6225,145755,3
92,2848,6233,223018,3
103,2480,6211,326326,3
104,2549,6223,333856,3
104,2511,6279,209430,3
195,4330,11280,368002,3
82,2469,6227,123662,3
87,2471,6337,139238,3
84,2451,6249,119023,3
80,2468,6139,114538,3
87,2467,6262,207494,3
80,2472,6228,114390,3
81,2458,6213,114060,3
88,2514,6150,194381,3
97,2502,6141,336652,3
89,2629,6162,159526,3
75,2474,6174,115644,3
74,2460,6130,112501,3
91,2564,6165,203772,3
98,2734,6070,225890,3
89,2475,6036,216384,3
90,2475,6054,195821,3
82,2487,6172,188975,3
93,2508,6148,201406,3
84,2479,6181,140835,3
87,2501,6270,155668,3
84,2472,6263,211803,3
86,2437,6147,138763,3
82,2475,6130,115920,3
85,2545,6148,208576,3
91,2572,6116,218230,3
88,2497,6038,199448,3
92,2517,6047,214574,3
89,2474,6036,199794,3
94,2555,6163,333069,3
93,2495,6142,196569,3
95,2563,6147,206140,3
86,2506,6148,202955,3
92,2487,6143,328676,3
87,2473,6129,151002,3
93,2461,6179,139617,3
82,2485,6169,118224,3
94,2555,6171,203054,3
94,2506,6113,192703,3
96,2523,6148,200321,3
90,2482,6163,155924,3
84,2449,6139,208532,3
79,2450,6301,115224,3
90,2517,6264,205733,3
86,2507,6152,197363,3
94,2556,6150,319046,3
97,2565,6137,333440,3
97,2536,6141,320831,3
98,2525,6135,322190,3
99,2515,6203,338558,3
85,2507,6174,196403,3
91,2523,6156,200540,3
178,5130,12184,371645,3
89,2515,6255,200509,3
77,2734,6240,217155,3
99,2525,6200,337207,3
103,2481,6531,218098,3
92,2551,6219,250104,3
83,2498,6226,164033,3
74,2468,6196,116672,3
76,2441,6120,126657,3
79,2459,6134,127533,3
77,2494,6166,128718,3
67,2468,6062,110603,3
83,1988,5299,192639,3
93,2452,6272,311505,3
80,2572,6294,209010,3
85,2683,6223,228002,3
91,2035,5270,193531,3
58,1691,4992,204497,4
107,2965,8877,285193,4
53,1800,5510,90624,4
50,1726,4841,89836,4
57,1783,4895,144485,4
62,1798,4897,230777,4
96,3378,8767,207477,4
