@RELATION perfEvents

@ATTRIBUTE counter_values_L1-icache-load-misses REAL
@ATTRIBUTE counter_values_branch-load-misses REAL
@ATTRIBUTE counter_values_cache-references REAL
@ATTRIBUTE counter_values_cycles REAL
@ATTRIBUTE classLabel REAL

@DATA
195620,48437,520375,34190085,1
138983,39448,455127,22734558,1
227769,60793,551369,36102841,1
213302,62456,579774,41269326,1
188076,51736,480331,28780747,1
381801,103356,675230,52458162,1
140060,38872,416384,27049540,1
203304,58995,594103,39244709,1
143088,40676,412161,27695448,1
190649,52593,520351,35618073,1
119688,30013,331497,20903388,1
223205,60696,632581,41319001,1
159262,47236,501976,30462873,1
142118,39316,420966,28187048,1
149298,43399,475571,25587970,1
235405,69411,653561,45772165,1
167773,46943,507368,33080408,1
171938,46645,503854,31991604,1
130038,37168,402077,26685117,1
183557,46348,499343,36816421,1
154082,38749,420915,27102898,1
188008,52027,530796,32521928,1
209956,51185,547438,35497297,1
178658,50827,527386,38382939,1
205840,54183,524475,37168703,1
189824,52686,518985,33117168,1
146631,40922,437492,27218701,1
171161,49071,527850,33385854,1
159188,43010,422813,26999494,1
191288,56015,552662,32224541,1
134469,36916,425527,23567200,1
196259,51365,491272,34893788,1
183252,74074,489872,33007377,1
147999,40466,436200,27186799,1
179023,54134,507709,33819389,1
299901,83631,645564,43695806,1
131625,36990,420351,23839912,1
173965,49955,448406,31704512,1
158185,44127,495502,33657701,1
161570,42775,471505,29250805,1
175157,49194,519288,34023138,1
153866,44997,461146,26674026,1
223241,61582,634315,37145039,1
145428,38408,423629,27975347,1
229586,63533,562840,41092023,1
173456,47410,499960,34036276,1
231003,64129,571173,39391323,1
341701,86013,713903,47840537,1
188421,52434,553566,35562408,1
183008,49076,500819,34382835,1
178790,53318,518434,31566584,1
334040,82564,725707,59587255,1
284355,66389,633702,46098779,1
311069,79938,671656,45347708,1
148849,40258,448607,26694247,1
178320,50488,555270,32064555,1
170251,47263,468943,28427626,1
146854,38066,421116,28843247,1
160227,45913,512811,30902981,1
166968,47312,448034,27836958,1
221665,57926,582144,39153485,1
185484,52508,516206,34740732,1
169493,48943,501529,33528921,1
166924,48427,460512,29245746,1
210757,59653,623257,40515742,1
159611,44070,439279,31840991,1
203342,51876,534641,34746840,1
183633,48566,505464,33890470,1
169650,48774,523878,29848432,1
214640,56561,530828,35675635,1
175737,47319,621071,32155375,1
147946,40609,395109,28726402,1
165204,47861,515714,29201475,1
180360,53676,578638,36561546,1
223511,60877,560059,40481889,1
170646,42135,551868,28315388,1
144871,42716,343612,25292487,1
180611,47983,523773,32020010,1
158983,40373,500972,27823532,1
192288,53962,520855,35110784,1
168486,45113,455443,33008156,1
172750,45817,423741,27688210,1
204854,50081,543925,33702139,1
167208,48271,513239,34266488,1
171457,46341,449830,27490825,1
219839,85009,532557,45610988,1
310708,85560,653618,52046456,1
284555,69649,649161,42889860,1
225071,60839,579881,41213744,1
248892,62413,514276,41094755,1
186028,52701,636217,34237109,1
242928,63449,500778,41386016,1
195706,51920,619532,36047335,1
327657,79109,700679,48632237,1
352618,78529,661998,47429817,1
303402,74534,603956,44475551,1
434291,97335,871701,56380992,1
356077,79621,641733,46864909,1
350511,80279,673221,50415805,1
513106,152259,633593,59893230,2
403337,119022,578720,47129319,2
331208,94559,526606,43136805,2
510031,144958,632214,54182470,2
359699,99762,525083,43552625,2
311636,89910,467695,38344974,2
466604,130642,622680,53230717,2
370599,96464,530472,46680216,2
617082,160048,750545,68547776,2
397132,109827,540067,47562864,2
363349,98290,520519,45529206,2
476970,133151,619725,59029928,2
317104,93702,487404,37309137,2
462447,129718,644297,58168940,2
