@RELATION perfEvents

@ATTRIBUTE counter_values_branch-misses REAL
@ATTRIBUTE counter_values_cache-references REAL
@ATTRIBUTE counter_values_instructions REAL
@ATTRIBUTE counter_values_mem-stores REAL
@ATTRIBUTE classLabel REAL

@DATA
49280,561785,29284766,3369862,1
47288,535097,26524923,3201325,1
45433,501452,26473043,3192962,1
58031,576107,28397548,3618844,1
47926,577005,26913257,3287807,1
75990,604623,37936355,5592853,1
52430,549908,28617088,3640048,1
69831,599592,28113819,3577399,1
47232,518458,26498383,3201280,1
53503,559030,27322335,3376337,1
45656,524672,26492019,3200376,1
46754,535418,26443685,3192297,1
48366,533340,26545388,3210519,1
46318,541988,26423022,3181569,1
55631,558338,27512480,3417887,1
49395,532544,26486218,3196170,1
55375,556997,28681013,3645140,1
49183,567631,26480810,3218876,1
46252,513253,26499829,3182672,1
60102,584027,27967511,3557082,1
80871,695012,29811009,3841884,1
85538,744564,31324038,4384179,1
63506,597724,30294297,3538938,1
55135,595832,27968519,3472525,1
61490,594568,28237609,3468985,1
83614,726928,31145857,4112798,1
96676,807205,32054291,4495658,1
84039,692949,30349192,3952905,1
58252,604301,32564373,3850559,1
61494,598263,29762300,3895166,1
37786,433918,20416927,2526893,1
58221,634678,32829225,3905654,1
45248,509857,26253740,3141511,1
51648,562680,27267180,3368549,1
50782,536345,26819704,3268242,1
57053,575593,26894662,3304478,1
46700,552864,26592679,3216960,1
48182,529977,26518828,3221439,1
44506,510748,26405920,3172582,1
53749,541588,27374477,3389575,1
47771,525744,26479361,3206920,1
54931,554724,27397714,3388342,1
48848,545984,26570551,3217795,1
54035,551048,27493156,3411110,1
68049,540422,29503311,3827712,1
55648,572923,28687946,3651867,1
54197,581631,27263948,3366525,1
49461,540612,26568276,3215522,1
48485,542381,26490303,3208080,1
54455,577808,27308100,3376238,1
48157,545081,26607471,3225604,1
54265,561706,27278340,3376310,1
74048,522976,33267321,4938980,1
47550,546763,26523006,3205628,1
52311,524966,27424749,3400278,1
48488,520274,26545001,3204114,1
48740,566707,26837949,3267431,1
47970,532628,26599672,3213192,1
55170,563418,27507707,3429722,1
51666,540175,26619349,3229279,1
48112,525694,26564886,3214040,1
56732,582459,27417085,3399832,1
47079,549556,26447390,3188140,1
56008,555067,27403521,3394038,1
53763,515929,28825866,3686481,1
48557,536836,26430367,3183352,1
46949,539091,27069575,3321602,1
45684,533060,26405040,3172887,1
60574,605239,27506712,3473933,1
40997,504509,26222855,3093997,1
45330,538507,26456415,3189205,1
46471,534114,26795046,3264347,1
54227,589476,28798169,3552608,1
44888,510304,25045839,3037180,1
47717,531590,26595408,3230076,1
45962,528517,26471348,3193364,1
66505,683675,33725386,4106450,1
39409,443678,20780402,2623451,1
58522,641920,33084684,4004604,1
37079,444535,20272500,2513385,1
56934,587075,32485342,3841216,1
52217,513133,26761994,3313195,1
53468,601020,27664062,3440928,1
54118,549215,27065425,3268617,1
50819,553911,26708067,3244909,1
47739,547601,26477015,3187788,1
65662,632176,29668941,3829291,1
42497,506749,26373429,3172275,1
54226,563202,27334118,3382552,1
55399,640975,32479680,3955031,1
44845,529214,23846165,3003367,1
83760,620476,26697536,3400171,1
80199,725905,30400231,3966318,1
78013,688389,31264529,3957332,1
100764,933441,37036623,5031065,1
83702,740220,30900967,4101437,1
79796,828285,32713647,4245969,1
73636,569898,30558919,3608086,1
84058,837132,30349811,4137636,1
21066,149487,7511930,960103,1
182404,776553,34593825,7086478,2
187058,753956,36680494,7663865,2
205879,824134,37349970,7603014,2
171410,722395,33998687,6955588,2
196993,815519,34785316,7254500,2
175907,739341,33201191,6921067,2
196662,853939,35947130,7536002,2
179892,761602,32861448,6846023,2
205750,837098,36797272,7764647,2
178601,782479,35820848,7065350,2
180338,736988,37710007,7128822,2
182837,805852,34704528,7300815,2
195728,819672,34916474,7344045,2
163419,712155,31734103,6441068,2
260018,902301,45079728,8886628,2
180908,723481,35713773,7628572,2
209050,834083,41129451,8453043,2
185523,764144,34745622,7270453,2
190752,725326,35361366,7236556,2
166370,700798,30452105,6376345,2
267780,1087182,44060794,9064698,2
197513,813481,39629640,7482297,2
174824,704848,33414517,6538750,2
176208,726726,34711432,7198767,2
203505,817041,39417018,8151642,2
187474,790198,35706607,7149008,2
179923,750745,34496447,7160661,2
179068,720839,35190705,7216558,2
190078,762978,35193270,7293349,2
178532,727986,37712060,7864025,2
170477,743886,32754709,6524193,2
183609,819110,37921690,7706956,2
158630,703542,28086802,5691581,2
173214,758904,32805238,6720343,2
149464,730292,26514710,5749138,2
179728,774333,33139995,7023766,2
139932,666189,23912662,5636914,2
162764,730246,31094803,6438783,2
143229,655960,24263426,5444013,2
333494,1292435,46547812,9600100,2
250382,1122671,37979768,8492720,2
208027,917426,58039698,10584169,2
217510,916918,36619962,7934899,2
161188,693954,28853392,6535228,2
166685,754861,30593267,6763288,2
160907,745692,28873863,6427625,2
188653,788920,31460802,7017667,2
182388,839371,31353298,6978066,2
161597,747569,30255825,6565619,2
212234,963013,38873367,8094575,2
183435,775835,34505199,7122106,2
194662,777154,35065776,7334734,2
203291,731939,38638191,7825651,2
177259,794684,34385728,7054082,2
189687,772999,35948824,7431283,2
184878,753951,32841760,7026913,2
187108,754243,37505242,7571700,2
199345,843033,37508214,7778463,2
182321,849832,35861254,7466218,2
193143,753330,35305947,7319478,2
171983,710506,34675710,7225391,2
179670,719941,36274493,7505710,2
192840,769500,36903534,7341965,2
230519,786475,37555978,7810063,2
192839,791775,36678958,7556605,2
195884,789187,38400338,7849480,2
215810,806543,39671366,8071021,2
217244,862917,42176301,8426537,2
200175,771394,40008829,8072477,2
202296,796272,39736441,7934898,2
225350,840589,41026129,8231680,2
216191,871683,42602381,8621645,2
216566,777281,41715428,8227030,2
185087,763236,37150212,7554529,2
196940,730470,37312148,7640369,2
195921,767476,37395991,7711086,2
197799,853845,32334630,6762071,2
202230,806470,40732799,8113080,2
187348,702354,36533176,7380466,2
237707,908629,42159086,8459005,2
191785,747622,36919021,7450754,2
185268,708111,34048574,7071247,2
220896,791115,42889507,8349358,2
193937,794949,34573002,7288694,2
160082,698570,28789610,6453619,2
157885,675174,25925165,6017825,2
192550,812220,32464801,6851450,2
127808,607868,22015753,4993651,2
180421,890187,33087324,7177139,2
156342,697633,33809909,6460740,2
130843,653942,25286504,5472013,2
179677,802807,30597289,6876511,2
177878,672503,33781226,7146927,2
126701,585897,24757630,5359096,2
195142,827932,31391641,6960702,2
131371,644224,24865116,5324948,2
168521,781306,30032689,6122711,2
197474,906994,36470657,7392433,2
200432,783344,38522795,7752871,2
33288,171041,8872674,1559238,2
% 
% 
% 
