@RELATION perfEvents

@ATTRIBUTE counter_values_cache-misses REAL
@ATTRIBUTE counter_values_cache-references REAL
@ATTRIBUTE counter_values_instructions REAL
@ATTRIBUTE counter_values_mem-stores REAL
@ATTRIBUTE classLabel REAL

@DATA
223,374,4950,1193,1
202,258,4782,1161,1
223,248,4882,1179,1
198,241,4881,1178,1
297,786,4788,1329,1
233,463,4944,1191,1
232,500,4877,1177,1
207,392,4894,1181,1
112,425,4784,1162,1
223,483,4827,1168,1
124,432,4854,1177,1
151,620,4865,1454,1
224,253,4877,1177,1
221,257,4788,1163,1
220,250,4782,1161,1
214,297,4782,1161,1
168,248,4879,1177,1
78,324,1878,569,1
73,163,1878,569,1
79,252,4883,1179,1
229,500,4877,1176,1
224,252,4883,1179,1
204,238,4879,1177,1
192,243,4557,1121,1
253,397,0,394,1
214,239,4788,1433,1
196,357,4490,1163,1
225,345,4883,1107,1
164,250,4787,1179,1
145,427,4883,1163,1
222,293,4883,1179,1
227,473,4887,1179,1
90,422,4478,1181,1
144,446,4656,1104,1
71,250,4786,1140,1
211,247,4882,1162,1
224,439,4948,1179,1
58,241,4786,1192,1
205,247,4788,1162,1
166,216,4885,1163,1
179,231,4950,1180,1
212,233,4883,1193,1
207,236,4783,1179,1
247,501,4881,1161,1
82,298,4894,1179,1
90,246,4883,1181,1
213,243,4945,1179,1
71,249,4788,1191,1
105,391,4878,1163,1
86,429,4877,1177,1
217,253,4949,1177,1
78,257,4944,1193,1
210,242,4782,1191,1
210,254,4949,1161,1
232,364,4782,1193,1
125,225,4782,1161,1
76,232,4784,1161,1
73,220,4659,1161,1
82,239,1878,1140,1
194,304,4788,569,1
131,249,4882,1163,1
240,504,4882,1179,1
219,253,4882,1179,1
107,384,4882,1179,1
236,456,4883,1179,1
254,550,5343,1179,1
229,275,5270,1265,1
223,407,4883,1249,1
225,259,4855,1179,1
226,335,4950,1177,1
241,546,4785,1193,1
247,479,4791,1321,1
188,386,4478,1433,1
227,441,4787,1104,1
204,246,4883,1163,1
125,414,4485,1179,1
225,331,4881,1102,1
235,502,4885,1178,1
203,234,4950,1180,1
137,243,4785,1193,1
75,241,4878,1162,1
265,274,4788,1177,1
159,223,4656,1163,1
47,244,4945,1140,1
294,304,4787,1191,1
95,251,4880,1162,1
308,313,4944,1178,1
262,274,4879,1191,1
222,248,4879,1177,1
224,422,4782,1178,1
567201,975084,107742069,16891658,2
588466,1057152,110493666,17401578,2
590538,1003329,107465114,16712406,2
623234,1087421,113876198,18529310,2
636026,1108990,121773934,19191491,2
589530,1053263,118891730,16689644,2
660505,1083234,111323347,19542250,2
599477,1098778,128521822,19037330,2
617089,1039931,111029707,17901254,2
587110,1019108,110063111,17216581,2
588203,998070,108957867,17350926,2
